epoch,accuracy,loss,val_accuracy,val_loss
0,0.3611956834793091,1.3295170068740845,0.455331414937973,1.276991844177246
1,0.6476612091064453,0.9826237559318542,0.6685879230499268,0.919605016708374
2,0.7996125221252441,0.573286235332489,0.6974063515663147,0.7888142466545105
3,0.8508164882659912,0.40992608666419983,0.6916426420211792,0.7925999164581299
4,0.8862441182136536,0.3195379376411438,0.6945244669914246,0.8470901250839233
5,0.9130915999412537,0.25833699107170105,0.6916426420211792,0.868726909160614
6,0.9332964420318604,0.2118329405784607,0.6628242135047913,0.9414214491844177
7,0.9429836869239807,0.178110733628273,0.6714697480201721,1.0178364515304565
8,0.9554386734962463,0.15181782841682434,0.6916426420211792,1.082983136177063
9,0.9590368270874023,0.13463443517684937,0.6829971075057983,1.1359872817993164
10,0.9667866230010986,0.1195589080452919,0.6743515729904175,1.162319540977478
11,0.9690008163452148,0.11320586502552032,0.6829971075057983,1.2080904245376587
12,0.9690008163452148,0.09590619802474976,0.6829971075057983,1.2389179468154907
13,0.973706066608429,0.0906449407339096,0.6945244669914246,1.2748584747314453
14,0.9748131632804871,0.08624089509248734,0.6772334575653076,1.3758548498153687
15,0.9748131632804871,0.08421358466148376,0.6945244669914246,1.3479137420654297
16,0.9753667116165161,0.07744118571281433,0.6599423885345459,1.3724722862243652
17,0.975643515586853,0.07681557536125183,0.6945244669914246,1.3964805603027344
18,0.9781345129013062,0.06973617523908615,0.6685879230499268,1.4429348707199097
19,0.976473867893219,0.07242804765701294,0.6974063515663147,1.4635071754455566
20,0.9786880612373352,0.06406112015247345,0.6887608170509338,1.484718680381775
21,0.9761970639228821,0.069832943379879,0.6858789920806885,1.5116770267486572
22,0.9784113168716431,0.05910443887114525,0.6974063515663147,1.550866723060608
23,0.9775809645652771,0.06488354504108429,0.6829971075057983,1.5193907022476196
24,0.9775809645652771,0.058820948004722595,0.6829971075057983,1.5599963665008545
